element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
Fe	2	"840.01893"	"0.00004"	"840.01894"	"0.00004"	"170"	"1.18e+07"	B+	"11.2703037"	"12.7458673"	"3d6.(5D).5p"	"4P*"	"5/2"	"3d6.(5D).6s"	"4D"	"5/2"		"T6892c83"	"L18349c139"	
Cu	2	"840.2897"	"0.0007"	"840.29047"	"0.00011"	"1600"	"3.9e+06"	C	"13.64873568"	"15.12382247"	"3d9.(2D<3/2>).5s"	"2[3/2]"	"1"	"3d8.(3F).4s.4p.(3P*)"	"1D*"	"2"		"T7181"	"L869c171"	
O	2	"840.3370"	"0.0010"	"840.3379"	"0.0010"	"7"	"2.30e+07"	C	"30.4881141"	"31.963118"	"2s2.2p2.(3P).4p"	"4D*"	"5/2"	"2s2.2p2.(3P).5s"	"4P"	"3/2"		"T5723LS"	"L10621"	
Ag	2	"840.38338"	"0.00021"	"840.38336"	"0.00021"	"5000"	"4.7e+07"	C	"14.94426250"	"16.4191862"	"4d9.(2D<5/2>).6s"	"2[5/2]"	"3"	"4d9.(2D<5/2>).6p"	"2[7/2]*"	"4"		"T9142"	"L11881c113"	
Co	2	"840.4460"	"0.0025"	"840.4443"	"0.0004"	"94"	"5.2e+06"	C+	"10.55944220"	"12.03425891"	"3d7.(4F).5s"	"e 5F"	"3"	"3d7.(4F).5p"	"3F*"	"4"		"T6999"	"L4687c119"	
F	5	""	""	"840.7"	"1.0"	""	"2.33e+06"	B	"102.8706"	"104.3449"	"2s.2p.(3P*).4p"	"2P"	"3/2"	"2s.2p.(3P*).4d"	"2D*"	"3/2"		"T7192c91,LS"	""	
Ar	1	"840.8210"	"0.0010"	"840.8209"	"0.0010"	"15000"	"2.23e+07"	B+	"11.82807116"	"13.30222747"	"3s2.3p5.(2P*<1/2>).4s"	"2[1/2]*"	"1"	"3s2.3p5.(2P*<1/2>).4p"	"2[3/2]"	"2"		"T5223"	"L2634"	
C	3	""	""	"840.892"	"0.010"	""	"1.25e+05"	B	"39.401746"	"40.875778"	"1s2.2s.4p"	"3P*"	"1"	"1s2.2p.(2P*).3p"	"3P"	"0"		"T5633LS"	""	
Xe	1	"840.91894"	"0.00005"	"840.9191+"	"0.0010"	"2000"	"3.06e+06"	B+	"8.3153161"	"9.7893002"	"5p5.(2P*<3/2>).6s"	"2[3/2]*"	"2"	"5p5.(2P*<3/2>).6p"	"2[3/2]"	"1"		"T3269"	"L7292c110"	
In	2	""	""	"840.972"	"0.003"	""	"2.4e+06"	C	"16.7039556"	"18.177847"	"5s.7d"	"3D"	"1"	"5s.9f"	"3F*"	"2"		"T9131"	""	
Co	2	"841.1680"	"0.0004"	"841.16819"	"0.00021"	"93"	"9.0e+06"	C+	"12.1861143"	"13.6596619"	"3d7.(4F).5p"	"3F*"	"2"	"3d7.(4F).6s"	"3F"	"3"		"T6999"	"L9429c118"	
Ti	1	"841.2356"	"0.0008"	"841.2357"	"0.0004"	"960"	"1.28e+06"	B	"0.8181426"	"2.2915719"	"3d3.(4F).4s"	"a 5F"	"2"	"3d2.(3F).4s.4p.(3P*)"	"z 5D*"	"1"		"T8000"	"L10989"	
Kr	1	"841.2428"	"0.0010"	"841.2431+"	"0.0007"	"10"	"1.79e+06"	C	"11.54582278"	"13.0192391"	"4s2.4p5.(2P*<3/2>).5p"	"2[3/2]"	"2"	"4s2.4p5.(2P*<3/2>).5d"	"2[3/2]*"	"2"		"T3774n,T3408,T7199"	"L7292"	
In	2	"841.311"	"0.004"	"841.3080"	"0.0015"	"520"	"6.6e+06"	C	"15.7774935"	"17.250796"	"5s.7p"	"3P*"	"2"	"5s.9s"	"3S"	"1"		"T9131"	"L3548c126"	
C	2	"841.342"	"0.010"	"841.334"	"0.013"	"6h*"	"3.19e+07"	B	"27.225788"	"28.69905"	"2s.2p.(3P*).4d"	"4F*"	"7/2"	"2s.2p.(3P*).5f"	"4G"	"9/2"		"T10528"	"L1176"	
C	2	"841.342"	"0.010"	"841.344"	"0.013"	"6h*"	"3.89e+07"	B	"27.22939"	"28.70263"	"2s.2p.(3P*).4d"	"4F*"	"9/2"	"2s.2p.(3P*).5f"	"4G"	"11/2"		"T10528"	"L1176"	
C	2	"841.449"	"0.010"	"841.441"	"0.012"	"4h*"	"2.74e+07"	B	"27.223235"	"28.696305"	"2s.2p.(3P*).4d"	"4F*"	"5/2"	"2s.2p.(3P*).5f"	"4G"	"7/2"		"T10528"	"L1176"	
C	2	"841.449"	"0.010"	"841.444"	"0.015"	"4h*"	"3.19e+07"	B	"27.22166"	"28.69473"	"2s.2p.(3P*).4d"	"4F*"	"3/2"	"2s.2p.(3P*).5f"	"4G"	"5/2"		"T10528"	"L1176"	
Ta	1	"841.573"	"0.010"	"841.572+"	"0.010"	"5"	"5.3e+04"	C	"1.236843"	"2.709683"	"5d4.(5D).6s"	"a 6D"	"3/2"	"5d3.6s.(5F).6p"	"z 4F*"	"3/2"		"T4976"	"L3475"	
O	2	""	""	"841.588"	"0.010"	""	"1.82e+07"	C	"30.477387"	"31.950200"	"2s2.2p2.(3P).4p"	"4D*"	"3/2"	"2s2.2p2.(3P).5s"	"4P"	"1/2"		"T5723LS"	""	
Fe	3	"841.6500"	"0.0020"	"841.6471"	"0.0017"	"120"	"4.30e+07"	B	"24.64027"	"26.11298"	"3d5.(6S).6p"	"7P*"	"4"	"3d5.(6S).7s"	"7S"	"3"		"u44"	"L1171"	
Ne	1	"841.71597"	"0.00009"	"841.71606"	"0.00010"	"2700"	"1.07e+06"	C+	"18.57583601"	"20.04842449"	"2s2.2p5.(2P*<3/2>).3p"	"2[5/2]"	"2"	"2s2.2p5.(2P*<3/2>).3d"	"2[5/2]*"	"3"		"T6976"	"L9097"	
K	1	"841.754"	"0.010"	"841.7521"	"0.0004"	"2"	"4.81e+04"	A	"2.6699600"	"4.1424855"	"3p6.3d"	"2D"	"5/2"	"3p6.10p"	"2P*"	"3/2"		"T9168"	"L6096"	
Ne	1	"841.84265"	"0.00004"	"841.84274"	"0.00010"	"26000"	"1.56e+07"	B+	"18.57583601"	"20.04820289"	"2s2.2p5.(2P*<3/2>).3p"	"2[5/2]"	"2"	"2s2.2p5.(2P*<3/2>).3d"	"2[5/2]*"	"2"		"T6976"	"L3451"	
K	1	""	""	"841.9157"	"0.0004"	""	"5.29e+03"	A	"2.6702462"	"4.1424855"	"3p6.3d"	"2D"	"3/2"	"3p6.10p"	"2P*"	"3/2"		"T9168"	""	
K	1	"842.000"	"0.010"	"841.9985"	"0.0004"	"1"	"5.25e+04"	A	"2.6702462"	"4.1423407"	"3p6.3d"	"2D"	"3/2"	"3p6.10p"	"2P*"	"1/2"		"T9168"	"L6096"	
Fe	2	"842.05606"	"0.00006"	"842.05609"	"0.00004"	"250"	"1.03e+07"	B+	"9.7359140"	"11.2079078"	"3d6.(5D).5s"	"e 6D"	"5/2"	"3d6.(5D).5p"	"4D*"	"7/2"		"T6892c83"	"L18349c139"	
C	5	""	""	"841.895"	"0.010"	""	"6.898e+06"	AA	"(352.0643)"	"(353.53653)"	"1s.3s"	"3S"	"1"	"1s.3p"	"3P*"	"2"		"T5997LS"	""	
S	2	"842.2300"	"0.0010"	"842.2321"	"0.0010"	"10"	"1.76e+06"	C	"15.067802"	"16.539488"	"3s2.3p2.(1D).4s"	"2D"	"5/2"	"3s2.3p2.(3P).4p"	"2P*"	"3/2"		"T3186c85"	"L5883"	
In	2	"842.351"	"0.014"	"842.352"	"0.008"	"92"	"2.6e+06"	C	"16.7061292"	"18.177606"	"5s.7d"	"3D"	"2"	"5s.9f"	"3F*"	"3"		"T9131"	"L3548c126"	
Fe	2	"842.39253"	"0.00004"	"842.39255"	"0.00005"	"700"	"2.28e+07"	B+	"9.7607579"	"11.2321638"	"3d6.(5D).5s"	"e 6D"	"3/2"	"3d6.(5D).5p"	"6F*"	"3/2"		"T6892c83"	"L18349c139"	
Al	12	""	""	"845.3"	"1.0"	""	"4.17e+06"	A+	"(1961.037)"	"(1962.5036)"	"1s.4s"	"3S"	"1"	"1s.4p"	"3P*"	"0"		"T5231c63,LS"	""	
N	3	""	""	"842.456"	"0.010"	""	"3.17e+06"	B	"36.85609"	"38.32738"	"2s.2p.(3P*).3s"	"2P*"	"3/2"	"2s.2p.(3P*).3p"	"2P"	"1/2"		"T7192LS"	""	
Ar	1	"842.4648"	"0.0010"	"842.4647"	"0.0010"	"20000"	"2.15e+07"	B+	"11.62359272"	"13.09487256"	"3s2.3p5.(2P*<3/2>).4s"	"2[3/2]*"	"1"	"3s2.3p5.(2P*<3/2>).4p"	"2[5/2]"	"2"		"T5223"	"L2634"	
Ti	1	"842.6504"	"0.0009"	"842.6507"	"0.0003"	"1500"	"1.20e+06"	B	"0.82585949"	"2.2968146"	"3d3.(4F).4s"	"a 5F"	"3"	"3d2.(3F).4s.4p.(3P*)"	"z 5D*"	"2"		"T8000"	"L10989"	
Ag	2	"843.15"	"0.21"	"843.120"	"0.006"	"270"	"2.4e+07"	C	"17.0137823"	"18.483919"	"4d9.(2D<3/2>).6p"	"2[3/2]*"	"1"	"4d9.(2D<3/2>).7s"	"2[3/2]"	"1"		"T9142"	"L647c114"	
Cl	3	""	""	"843.366"	"0.010"	""	"3.06e-01"	C	"2.238220"	"3.707927"	"3s2.3p3"	"2D*"	"3/2"	"3s2.3p3"	"2P*"	"3/2"	M1	"T761"	""	
Cl	3	""	""	"843.366"	"0.010"	""	"8.4e-02"	C	"2.238220"	"3.707927"	"3s2.3p3"	"2D*"	"3/2"	"3s2.3p3"	"2P*"	"3/2"	E2	"T761"	""	
C	2	""	""	"843.40"	"0.04"	"m(Cl III)"	"3.81e+06"	C+	"27.22939"	"28.69905"	"2s.2p.(3P*).4d"	"4F*"	"9/2"	"2s.2p.(3P*).5f"	"4G"	"9/2"		"T10528"	"L21568"	
In	2	"843.453"	"0.014"	"843.447"	"0.009"	"250"	"2.9e+06"	C	"16.7095856"	"18.179152"	"5s.7d"	"3D"	"3"	"5s.9f"	"3F*"	"4"		"T9131"	"L3548c126"	
Ti	1	"843.4959"	"0.0009"	"843.4954"	"0.0003"	"3100"	"1.55e+06"	B	"0.8484192"	"2.3179012"	"3d3.(4F).4s"	"a 5F"	"5"	"3d2.(3F).4s.4p.(3P*)"	"z 5D*"	"4"		"T8000"	"L10989"	
Ti	1	"843.5650"	"0.0009"	"843.5653"	"0.0003"	"2100"	"1.29e+06"	B	"0.83599520"	"2.3053556"	"3d3.(4F).4s"	"a 5F"	"4"	"3d2.(3F).4s.4p.(3P*)"	"z 5D*"	"3"		"T8000"	"L10989"	
Si	3	""	""	"843.649"	"0.010"	""	"2.93e+07"	B+	"28.355155"	"29.824370"	"3p.4s"	"1P*"	"1"	"3s.6d"	"1D"	"2"		"T6298c4"	""	
Xe	1	"843.7550"	"0.0010"	"843.7563+"	"0.0010"	"10"	"9.0e+04"	C	"9.7893002"	"11.2583279"	"5p5.(2P*<3/2>).6p"	"2[3/2]"	"1"	"5p5.(2P*<3/2>).8s"	"2[3/2]*"	"2"		"T5818"	"L4739"	
N	2	"843.874"	"0.010"	"843.874"	"0.010"	"550"	"1.91e+07"	B	"22.103082"	"23.571906"	"2s2.2p.3p"	"1S"	"0"	"2s2.2p.3d"	"1P*"	"1"		"T7333"	"L3513"	
Fe	2	"843.91266"	"0.00005"	"843.91261"	"0.00005"	"120"	"9.3e+06"	B+	"11.2190607"	"12.6878163"	"3d6.(5D).5p"	"6F*"	"5/2"	"3d6.(5D).6s"	"6D"	"5/2"		"T6892c83"	"L18349c139"	
S	2	""	""	"844.167+"	"0.010"	""	"3.48e-02"	B	"14.293594"	"15.761907"	"3s2.3p2.(3P).3d"	"2F"	"7/2"	"3s2.3p2.(1D).3d"	"2G"	"9/2"	E2	"T3186c85"	""	
N	3	""	""	"844.434"	"0.010"	""	"5.43e+04"	B	"42.48833"	"43.95618"	"2s.2p.(3P*).3d"	"2P*"	"3/2"	"2s2.6d"	"2D"	"5/2"		"T7192LS"	""	
N	3	""	""	"844.434"	"0.010"	""	"9.05e+03"	B	"42.48833"	"43.95618"	"2s.2p.(3P*).3d"	"2P*"	"3/2"	"2s2.6d"	"2D"	"3/2"		"T7192LS"	""	
O	1	"844.625"	"0.010"	"844.6247"	"0.0010"	"810"	"3.22e+07"	B	"9.5213638"	"10.9888811"	"2s2.2p3.(4S*).3s"	"3S*"	"1"	"2s2.2p3.(4S*).3p"	"3P"	"0"		"T5803,LS"	"L3760"	
O	1	"844.636"	"0.010"	"844.6359"	"0.0010"	"1000"	"3.22e+07"	B	"9.5213638"	"10.9888616"	"2s2.2p3.(4S*).3s"	"3S*"	"1"	"2s2.2p3.(4S*).3p"	"3P"	"2"		"T5803,LS"	"L3760"	
O	1	"844.676"	"0.010"	"844.6758"	"0.0010"	"935"	"3.22e+07"	B	"9.5213638"	"10.9887923"	"2s2.2p3.(4S*).3s"	"3S*"	"1"	"2s2.2p3.(4S*).3p"	"3P"	"1"		"T5803,LS"	"L3760"	
C	5	""	""	"844.648"	"0.010"	""	"6.832e+06"	AA	"(352.0643)"	"(353.53173)"	"1s.3s"	"3S"	"1"	"1s.3p"	"3P*"	"0"		"T5997LS"	""	
Mn	2	"844.845"	"0.002"	"844.8442"	"0.0009"	"40"	"1.5e+07"	C	"10.6496819"	"12.1168179"	"3d5.(6S).5p"	"x 7P*"	"2"	"3d5.(6S).6s"	"7S"	"3"		"c88"	"L562"	
C	5	""	""	"844.748"	"0.010"	""	"6.829e+06"	AA	"(352.0643)"	"(353.53156)"	"1s.3s"	"3S"	"1"	"1s.3p"	"3P*"	"1"		"T5997LS"	""	
Fe	2	"845.10146"	"0.00004"	"845.10148"	"0.00005"	"500"	"4.8e+06"	B+	"9.7002396"	"11.1669291"	"3d6.(5D).5s"	"e 6D"	"7/2"	"3d6.(3F1).4p"	"4G*"	"9/2"		"T6892c83"	"L18349c139"	
O	3	""	""	"845.642"	"0.010"	""	"3.78e+04"	C	"45.452081"	"46.917833"	"2s2.2p.(2P*).4p"	"3D"	"2"	"2s.2p2.(4P).3p"	"3P*"	"1"		"T5376LS"	""	
Hf	1	"846.0000"	"0.0015"	"845.9997"	"0.0004"	"2800"	"7.0e+05"	C	"2.0787980"	"3.54393021"	"5d3.(b 4F).6s"	"a 5F"	"4"	"5d2.(a 3F).6s.(a 4F).6p"	"z 3G*"	"3"		"T5346"	"L16323"	
In	2	"846.227"	"0.004"	"846.2222"	"0.0021"	"240"	"1.2e+07"	C	"15.8170757"	"17.281823"	"5s.7p"	"1P*"	"1"	"5s.9s"	"1S"	"0"		"T9131"	"L3548c126"	
Ne	1	"846.33569"	"0.00004"	"846.33575"	"0.00010"	"3700"	"3.20e+06"	C+	"18.57583601"	"20.04038646"	"2s2.2p5.(2P*<3/2>).3p"	"2[5/2]"	"2"	"2s2.2p5.(2P*<3/2>).3d"	"2[3/2]*"	"1"		"T6976"	"L3451"	
Li	1	""	""	"846.548"	"0.010"	""	"4.04e+04"	B	"3.373129"	"4.837313"	"1s2.3s"	"2S"	"1/2"	"1s2.5p"	"2P*"	"1/2"		"T5118LS"	""	
Li	1	""	""	"846.548"	"0.010"	""	"4.04e+04"	B	"3.373129"	"4.837313"	"1s2.3s"	"2S"	"1/2"	"1s2.5p"	"2P*"	"3/2"		"T5118LS"	""	
Fe	1	"846.84069"	"0.00022"	"846.84060"	"0.00010"	"6800"	"2.63e+05"	B	"2.22271209"	"3.68638944"	"3d7.(4P).4s"	"a 5P"	"1"	"3d6.(5D).4s.4p.(3P*)"	"z 5P*"	"1"		"T4187"	"L11631"	
Fe	2	"846.85908"	"0.00005"	"846.85918"	"0.00005"	"310bl(Fe II)*"	"1.92e+07"	B+	"9.7002396"	"11.1638849"	"3d6.(5D).5s"	"e 6D"	"7/2"	"3d6.(5D).5p"	"4F*"	"9/2"		"T6892c83"	"L18349c148"	
Fe	2	"846.92345"	"0.00004"	"846.92346"	"0.00005"	"500"	"3.32e+07"	B+	"9.7754140"	"11.2389481"	"3d6.(5D).5s"	"e 6D"	"1/2"	"3d6.(5D).5p"	"6F*"	"1/2"		"T6892c83"	"L18349c139"	
V	2	""	""	"847.0115"	"0.0009"	""	"2.2e-01"	C	"2.5561913"	"4.0195734"	"3d3.(2D2).4s"	"b 3D"	"2"	"3d4"	"d 3P1"	"0"	E2	"T9770"	""	
V	2	""	""	"847.2821"	"0.0009"	""	"1.7e-02"	C	"4.0045986"	"5.4675133"	"3d4"	"d 3P1"	"1"	"3d3.(2D1).4s"	"c 3D"	"3"	E2	"T9770"	""	
Fe	3	"847.7128"	"0.0020"	"847.7134"	"0.0017"	"120"	"2.73e+07"	B	"24.62408"	"26.08625"	"3d5.(6S).6p"	"7P*"	"2"	"3d5.(6S).6d"	"7D"	"3"		"u44"	"L1171"	
Br	1	"847.7450"	"0.0019"	"847.744+"	"0.010"	"4000"	"2.3e+07"	C+	"8.292543"	"9.754661"	"4s2.4p4.(3P<1>).5s"	"2[1]"	"1/2"	"4s2.4p4.(3P<1>).5p"	"2[2]*"	"3/2"		"T6936n,T9382"	"L351"	
Fe	3	"847.9708"	"0.0020"	"847.9722"	"0.0017"	"190"	"6.36e+07"	B	"24.62408"	"26.08580"	"3d5.(6S).6p"	"7P*"	"2"	"3d5.(6S).6d"	"7D"	"2"		"u44"	"L1171"	
Fe	2	""	""	"847.98664"	"0.00016"	""	"1.27e-01"	C+	"2.69193206"	"4.15363129"	"3d6.(3H).4s"	"a 4H"	"7/2"	"3d6.(1G2).4s"	"c 2G"	"7/2"	M1	"T8961"	""	
Cl	3	""	""	"848.086"	"0.010"	""	"1.69e-01"	C	"2.246399"	"3.707927"	"3s2.3p3"	"2D*"	"5/2"	"3s2.3p3"	"2P*"	"3/2"	M1	"T761"	""	
Cl	3	""	""	"848.086"	"0.010"	""	"1.95e-01"	C	"2.246399"	"3.707927"	"3s2.3p3"	"2D*"	"5/2"	"3s2.3p3"	"2P*"	"3/2"	E2	"T761"	""	
Fe	3	"848.1378"	"0.0020"	"848.1377"	"0.0022"	"190"	"9.50e+07"	B	"24.62408"	"26.08552"	"3d5.(6S).6p"	"7P*"	"2"	"3d5.(6S).6d"	"7D"	"1"		"u44"	"L1171"	
Mo	1	"848.3346"	"0.0010"	"848.3344+"	"0.0010"	"45h"	"2.58e+05"	B	"3.1981238"	"4.6592238"	"4d6"	"c 5D"	"2"	"4d4.5s.(6D).5p"	"z 5D*"	"2"		"T5293"	"L10250,L3475"	
Ne	1	"848.44424"	"0.00004"	"848.44435"	"0.00010"	"1300"	"7.15e+05"	C+	"18.57583601"	"20.03674670"	"2s2.2p5.(2P*<3/2>).3p"	"2[5/2]"	"2"	"2s2.2p5.(2P*<3/2>).3d"	"2[3/2]*"	"2"		"T6976"	"L3451"	
V	2	""	""	"848.8709"	"0.0005"	""	"8.9e-02"	C	"2.5444221"	"4.0045986"	"3d3.(2D2).4s"	"b 3D"	"1"	"3d4"	"d 3P1"	"1"	E2	"T9770"	""	
Fe	2	""	""	"848.96920"	"0.00013"	""	"4.18e-03"	C	"1.96448604"	"3.42449356"	"3d7"	"a 2G"	"9/2"	"3d6.(3F2).4s"	"a 2F"	"5/2"	E2	"T8961"	""	
Fe	2	"849.01022"	"0.00004"	"849.01021"	"0.00005"	"1200"	"1.75e+07"	B+	"9.7359140"	"11.1958510"	"3d6.(5D).5s"	"e 6D"	"5/2"	"3d6.(5D).5p"	"6F*"	"7/2"		"T6892c83"	"L18349c139"	
Fe	2	"849.06915"	"0.00004"	"849.06913"	"0.00005"	"900"	"2.95e+07"	B+	"11.1491737"	"12.6090094"	"3d6.(5D).5p"	"6F*"	"11/2"	"3d6.(5D).6s"	"6D"	"9/2"		"T6892c83"	"L18349c139"	
Ag	2	"849.2643"	"0.0017"	"849.2661"	"0.0017"	"2600"	"4.3e+07"	C	"15.54822375"	"17.007721"	"4d9.(2D<3/2>).6s"	"2[3/2]"	"2"	"4d9.(2D<3/2>).6p"	"2[5/2]*"	"3"		"T9142"	"L17886c114"	
Co	2	"849.3300"	"0.0006"	"849.3292"	"0.0003"	"72"	"1.5e+07"	C+	"12.3035919"	"13.7629806"	"3d7.(4P).5s"	"5P"	"2"	"3d7.(4P).5p"	"5D*"	"3"		"T6999"	"L9429c118"	
N	3	""	""	"849.529"	"0.010"	""	"4.44e+04"	B	"42.49713"	"43.95618"	"2s.2p.(3P*).3d"	"2P*"	"1/2"	"2s2.6d"	"2D"	"3/2"		"T7192LS"	""	
Mn	2	"849.535"	"0.035"	"849.5211"	"0.0009"	"100bl"	"2.1e+07"	C	"10.6577588"	"12.1168179"	"3d5.(6S).5p"	"x 7P*"	"3"	"3d5.(6S).6s"	"7S"	"3"		"c88"	"L562"	
Ne	1	"849.53591"	"0.00004"	"849.53598"	"0.00010"	"69000"	"3.93e+07"	B+	"18.57583601"	"20.03486947"	"2s2.2p5.(2P*<3/2>).3p"	"2[5/2]"	"2"	"2s2.2p5.(2P*<3/2>).3d"	"2[7/2]*"	"3"		"T6976"	"L3451"	
Al	3	""	""	"849.653"	"0.010"	""	"1.80e+06"	A	"25.041232"	"26.500065"	"2p6.6f"	"2F*"	"7/2"	"2p6.8d"	"2D"	"5/2"		"c32"	""	
Al	3	""	""	"849.653"	"0.010"	""	"1.89e+06"	A	"25.041232"	"26.500065"	"2p6.6f"	"2F*"	"5/2"	"2p6.8d"	"2D"	"3/2"		"c32"	""	
Al	3	""	""	"849.653"	"0.010"	""	"8.99e+04"	A	"25.041232"	"26.500065"	"2p6.6f"	"2F*"	"5/2"	"2p6.8d"	"2D"	"5/2"		"c32"	""	
Ca	2	"849.802"	"0.010"	"849.802"	"0.010"	"130"	"1.11e+06"	C	"1.692408"	"3.150984"	"3p6.3d"	"2D"	"3/2"	"3p6.4p"	"2P*"	"3/2"		"u7,LS"	"L7323"	
Fe	2	"849.96157"	"0.00004"	"849.96165"	"0.00006"	"1300"	"2.27e+07"	B+	"9.7607579"	"11.2190607"	"3d6.(5D).5s"	"e 6D"	"3/2"	"3d6.(5D).5p"	"6F*"	"5/2"		"T6892c83"	"L18349c139"	
Cl	3	""	""	"850.001"	"0.010"	""	"1.86e-01"	C	"2.238220"	"3.696455"	"3s2.3p3"	"2D*"	"3/2"	"3s2.3p3"	"2P*"	"1/2"	M1	"T761"	""	
Cl	3	""	""	"850.001"	"0.010"	""	"1.65e-01"	C	"2.238220"	"3.696455"	"3s2.3p3"	"2D*"	"3/2"	"3s2.3p3"	"2P*"	"1/2"	E2	"T761"	""	
C	3	"850.032"	"0.010"	"850.032"	"0.010"	"300"	"1.01e+07"	B	"30.645207"	"32.103388"	"1s2.2s.3s"	"1S"	"0"	"1s2.2s.3p"	"1P*"	"1"		"T5633"	"L1113"	
Co	2	"850.3212"	"0.0005"	"850.3223"	"0.0004"	"92"	"7.4e+06"	C+	"12.03425891"	"13.4919431"	"3d7.(4F).5p"	"3F*"	"4"	"3d7.(4F).6s"	"3F"	"4"		"T6999"	"L9429c118"	
Cu	2	"850.3394"	"0.0005"	"850.33976"	"0.00009"	"3600"	"1.6e+06"	C	"13.43190349"	"14.88955782"	"3d9.(2D<5/2>).5s"	"2[5/2]"	"2"	"3d9.(2D<5/2>).5p"	"2[3/2]*"	"2"		"T7181"	"L869c171"	
K	1	"850.345"	"0.010"	"850.344"	"0.004"	"11bl*"	"1.32e+06"	B+	"2.6699600"	"4.127608"	"3p6.3d"	"2D"	"5/2"	"3p6.8f"	"2F*"	"7/2"		"T8262"	"L6096"	
K	1	"850.345"	"0.010"	"850.344"	"0.004"	"11bl*"	"8.80e+04"	B+	"2.6699600"	"4.127608"	"3p6.3d"	"2D"	"5/2"	"3p6.8f"	"2F*"	"5/2"		"T8262"	"L6096"	
Fe	2	"850.40012"	"0.00004"	"850.40009"	"0.00004"	"240"	"9.3e+06"	B+	"11.2377818"	"12.6953327"	"3d6.(5D).5p"	"4D*"	"5/2"	"3d6.(5D).6s"	"4D"	"7/2"		"T6892c83"	"L18349c139"	
Cd	2	""	""	"850.452+"	"0.010"	""	"1.70e+06"	C	"13.303614"	"14.761076"	"4d10.7s"	"2S"	"1/2"	"4d9.5s.(3D).5p"	"2P*"	"3/2"		"T3096"	""	
Fe	2	""	""	"850.49725"	"0.00016"	""	"1.59e-02"	C	"2.69193206"	"4.14931647"	"3d6.(3H).4s"	"a 4H"	"7/2"	"3d6.(1G2).4s"	"c 2G"	"9/2"	M1	"T8961"	""	
K	1	"850.511"	"0.010"	"850.511"	"0.004"	"10"	"1.23e+06"	B+	"2.6702462"	"4.127608"	"3p6.3d"	"2D"	"3/2"	"3p6.8f"	"2F*"	"5/2"		"T8262"	"L6096"	
O	4	""	""	"850.541"	"0.010"	""	"1.78e+07"	B	"72.4738"	"73.9312"	"2s.2p.(3P*).4p"	"2D"	"3/2"	"2s.2p.(3P*).4d"	"2F*"	"5/2"		"T5109LS"	""	
Ca	3	"850.550"	"0.004"	"850.549"	"0.004"	"11H"	"2.15e+07"	B	"44.574873"	"46.032169"	"3s2.3p5.(2P*<3/2>).5d"	"2[3/2]*"	"2"	"3s2.3p5.(2P*<3/2>).5f"	"2[3/2]"	"2"		"u33"	"L1405"	
Co	2	"850.6750"	"0.0005"	"850.6735"	"0.0004"	"170"	"3.7e+07"	C+	"10.6473006"	"12.1043831"	"3d7.(4F).5s"	"e 5F"	"1"	"3d7.(4F).5p"	"5G*"	"2"		"T6999"	"L9429c118"	
La	1	"850.737"	"0.010"	"850.736+"	"0.007"	"13h"	"3.6e+06"	C	"1.0471760"	"2.504151"	"5d2.(1D).6s"	"2D"	"3/2"	"5d.6s.(1D).6p"	"*"	"1/2"		"T9460"	"L3475"	
Fe	2	"850.86770"	"0.00004"	"850.86772"	"0.00007"	"600"	"1.44e+07"	B+	"9.7754140"	"11.2321638"	"3d6.(5D).5s"	"e 6D"	"1/2"	"3d6.(5D).5p"	"6F*"	"3/2"		"T6892c83"	"L18349c139"	
Kr	1	"850.88728"	"0.00010"	"850.88722+"	"0.00010"	"200"	"1.811e+07"	A	"10.64363486"	"12.10035133"	"4s2.4p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"	"4s2.4p5.(2P*<1/2>).5p"	"2[3/2]"	"1"		"T7199"	"L11281"	
Fe	3	"850.9061"	"0.0020"	"850.9097"	"0.0017"	"300"	"5.87e+07"	B	"24.63019"	"26.08687"	"3d5.(6S).6p"	"7P*"	"3"	"3d5.(6S).6d"	"7D"	"4"		"u44"	"L1171"	
Fe	3	"851.2720"	"0.0020"	"851.2720"	"0.0016"	"190"	"5.86e+07"	B	"24.63019"	"26.08625"	"3d5.(6S).6p"	"7P*"	"3"	"3d5.(6S).6d"	"7D"	"3"		"u44"	"L1171"	
Fe	1	"851.40716"	"0.00022"	"851.40714"	"0.00010"	"5200"	"1.09e+05"	B	"2.19786640"	"3.65369332"	"3d7.(4P).4s"	"a 5P"	"2"	"3d6.(5D).4s.4p.(3P*)"	"z 5P*"	"2"		"T4187"	"L11631"	
S	8	""	""	"851.4+"	"1.0"	""	"8.30e+00"	B+	"207.9222"	"209.3781"	"2s2.2p4.(3P).3p"	"4D*"	"7/2"	"2s2.2p4.(3P).3p"	"2D*"	"5/2"	M1	"u29"	""	
Fe	1	"851.5108"	"0.0015"	"851.51092"	"0.00010"	"1050bl"	"1.11e+05"	B	"3.01762252"	"4.47327202"	"3d6.4s2"	"b 3G"	"3"	"3d7.(4F).4p"	"z 3G*"	"3"		"T5720"	"L11631"	
