element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
Fe	1	"353.30064"	"0.00004"	"353.30064"	"0.00004"	"12900"	"8.52e+07"	B	"2.88515991"	"6.39346861"	"3d6.(5D).4s.4p.(3P*)"	"z 7F*"	"0"	"3d6.(5D).4s (6D).4d"	"e 7G"	"1"		"T5720"	"L11631"	
Na	2	"353.3052"	"0.0003"	"353.3057"	"0.0010"	"1500"	"8.81e+07"	A	"32.846429"	"36.354688"	"2s2.2p5.3s"	"3P*"	"2"	"2s2.2p5.3p"	"3S"	"1"		"T7663"	"L914"	
Fe	1	"353.31979"	"0.00004"	"353.319818"	"0.000018"	"24500"	"8.25e+07"	B+	"2.88199261"	"6.39011087"	"3d6.(5D).4s.4p.(3P*)"	"z 7F*"	"1"	"3d6.(5D).4s (6D).4d"	"e 7G"	"2"		"T5720"	"L11631"	
Nb	4	"353.3289"	"0.0005"	"353.3282"	"0.0005"	"700000"	"1.71e+08"	C+	"24.2348082"	"27.742843"	"4d.6p"	"3F*"	"4"	"4d.6d"	"3F"	"4"		"T2192"	"L12094"	
O	3	""	""	"353.3385"	"0.0010"	""	"1.11e+07"	C+	"43.409899"	"46.917833"	"2s.2p2.(4P).3s"	"3P"	"1"	"2s.2p2.(4P).3p"	"3P*"	"1"		"T5376LS"	""	
V	1	"353.36758"	"0.00012"	"353.36758"	"0.00004"	"2300000"	"6.3e+07"	B+	"1.21809838"	"4.72574253&dagger;"	"3d3.4s2"	"a 4P"	"5/2"	"3d4.(3P2).4p"	"t 4D*"	"7/2"		"T9399"	"L15916"	
V	1	"353.37541"	"0.00012"	"353.37542"	"0.00003"	"280000"	"2.8e+07"	B	"1.18338392"	"4.69095021"	"3d3.4s2"	"a 4P"	"1/2"	"3d4.(3P2).4p"	"t 4D*"	"3/2"		"T9399"	"L15916"	
Ti	2	"353.38545"	"0.00004"	"353.385424"	"0.000016"	"39"	"6.86e+06"	B+	"2.06126756"	"5.56873456"	"3d2.(3P).4s"	"b 2P"	"3/2"	"3d2.(3P).4p"	"x 2D*"	"3/2"		"T7385"	"u37"	
Ac	2	"353.3980"	"0.0013"	"353.3976"	"0.0009"	"2100h"	"8.2e+07"	C+	"3.2790012"	"6.786347"	"6d.7p"	"3F*"	"2"	"6d.8s"	"3D"	"1"		"T10463"	"L7344"	
Ce	2	"353.405"	"0.010"	"353.40448+"	"0.00018"	"600"	"3.24e+07"	B	"0.5212214"	"4.0284993"	"4f.(2F*).5d2.(3F)"	"4H*"	"13/2"	"4f.5d.(3G*).6p"	""	"11/2"		"T8629"	"L3475"	
